"rank","country","hours2018","hours2017","hours2016","hours2015"
"1","Mexico","41.31","41.31","41.27","41.15"
"2","Costa Rica","40.79","41.90","42.40","41.31"
"3","South Korea","38.33","38.81","39.77","40.06"
"4","Russia","37.92","38.08","37.96","38.04"
"5","Greece","37.62","37.62","37.35","37.37"
"6","Chile","37.33","37.58","37.96","38.23"
"7","Israel","36.73","36.88","36.96","36.45"
"9","Czech Republic","34.46","34.31","34.21","33.77"
"8","Poland","34.46","34.90","35.31","35.27"
"10","United States","34.35","34.23","34.25","34.33"
"11","Ireland","34.27","33.42","33.44","33.48"
"12","New Zealand","33.77","33.71","33.69","33.79"
"13","Estonia","33.62","34.46","34.44","34.38"
"14","Hungary","33.48","33.49","33.85","33.63"
"15","Italy","33.13","33.06","33.11","33.04"
"16","Portugal","33.12","33.21","33.17","33.12"
"17","Canada","32.85","32.60","32.81","32.92"
"18","Spain","32.71","32.50","32.72","32.68"
"19","Latvia","32.67","32.60","32.87","32.85"
"20","Slovakia","32.65","32.96","33.46","33.73"
"21","Japan","32.31","32.87","32.96","33.06"
"22","Australia","32.02","32.21","32.18","32.38"
"23","Lithuania","31.08","30.92","31.62","31.19"
"24","Slovenia","30.82","31.19","31.79","32.46"
"25","Switzerland","30.02","30.19","30.57","30.57"
"26","Finland","29.90","29.92","30.00","30.06"
"27","Belgium","29.71","29.71","29.71","29.71"
"28","United Kingdom","29.58","29.67","29.71","29.44"
"29","France","29.23","29.27","29.35","29.21"
"30","Austria","29.06","29.06","29.08","28.85"
"31","Luxembourg","28.96","28.98","29.10","29.12"
"32","Sweden","28.35","28.27","28.50","28.29"
"33","Iceland","28.25","28.52","28.73","28.92"
"34","Netherlands","27.56","27.60","27.65","27.42"
"35","Norway","27.24","27.29","27.39","27.38"
"36","Denmark","26.77","27.02","27.15","27.06"
"37","Germany","26.20","26.16","26.21","26.34"
"38","Turkey","0","0","0","35.23"